Condition,Type,Mean Reward (Last 5),Std Dev
TD,Training,-96.7,23.631546
TD,Eval,-107.60801,49.899532
TD+NOV,Training,-100.26,27.828627
TD+NOV,Eval,-112.187996,44.031578
TD+UNC,Training,-99.78,60.18448
TD+UNC,Eval,-101.56,35.306316
FULL,Training,-98.82,33.871338
FULL,Eval,-98.728,33.163807
MULT,Training,-98.64,22.9493
MULT,Eval,-107.44001,46.779297
GATE,Training,-106.14,60.632004
GATE,Eval,-98.864006,33.05882
