X,TD_mean,TD_std,TD+NOV_mean,TD+NOV_std,TD+UNC_mean,TD+UNC_std,FULL_mean,FULL_std,MULT_mean,MULT_std,GATE_mean,GATE_std
1,-470.5,59.227108001708984,-470.5,59.227108001708984,-470.5,59.227108001708984,-470.5,59.227108001708984,-470.5,59.227108001708984,-470.5,59.227108001708984
2,-470.20001220703125,59.70728302001953,-464.70001220703125,71.13656616210938,-464.70001220703125,71.13656616210938,-464.70001220703125,71.13656616210938,-467.0,58.69241714477539,-464.70001220703125,71.13656616210938
3,-472.70001220703125,56.50141143798828,-448.20001220703125,111.14388275146484,-446.70001220703125,112.8042984008789,-446.70001220703125,112.8042984008789,-469.0,63.3419303894043,-446.70001220703125,112.8042984008789
4,-490.20001220703125,29.40000343322754,-462.79998779296875,111.60000610351562,-450.29998779296875,113.7137222290039,-448.6000061035156,114.9471206665039,-462.20001220703125,78.46757507324219,-450.29998779296875,113.7137222290039
5,-482.29998779296875,53.10000228881836,-475.3999938964844,73.80000305175781,-458.5,87.43826293945312,-455.79998779296875,91.1842041015625,-436.0,129.8622283935547,-458.5,87.43826293945312
6,-429.1000061035156,114.78018188476562,-472.0,84.0,-400.8999938964844,147.06016540527344,-434.0,132.17034912109375,-399.79998779296875,153.17755126953125,-404.3999938964844,146.13021850585938
7,-428.6000061035156,122.56932067871094,-407.3999938964844,123.24544525146484,-381.79998779296875,138.38699340820312,-359.29998779296875,155.1915283203125,-336.0,170.06881713867188,-352.3999938964844,137.82032775878906
8,-391.0,142.32989501953125,-381.70001220703125,149.9366912841797,-386.20001220703125,133.5446014404297,-378.29998779296875,119.64201354980469,-313.29998779296875,165.66656494140625,-314.70001220703125,187.32594299316406
9,-412.3999938964844,122.64680480957031,-382.20001220703125,134.89759826660156,-261.6000061035156,165.32403564453125,-317.0,159.02955627441406,-303.29998779296875,151.12713623046875,-350.29998779296875,164.3788604736328
10,-380.20001220703125,147.79769897460938,-354.0,164.22850036621094,-257.70001220703125,131.84767150878906,-305.70001220703125,172.28932189941406,-258.5,136.77810668945312,-315.3999938964844,165.55435180664062
11,-393.0,137.39723205566406,-341.3999938964844,181.0597686767578,-322.1000061035156,169.52313232421875,-345.29998779296875,154.2083282470703,-240.5,150.0175018310547,-393.3999938964844,160.06198120117188
12,-339.0,150.38284301757812,-287.20001220703125,164.26429748535156,-256.79998779296875,115.52298736572266,-323.6000061035156,147.17758178710938,-288.20001220703125,148.07754516601562,-357.6000061035156,176.5311279296875
13,-361.79998779296875,139.4903564453125,-248.0,141.5061798095703,-304.1000061035156,138.56944274902344,-302.5,160.91317749023438,-234.1999969482422,70.25495910644531,-370.29998779296875,131.16177368164062
14,-324.6000061035156,154.97689819335938,-300.6000061035156,136.92420959472656,-295.0,173.52059936523438,-304.29998779296875,196.16424560546875,-305.70001220703125,144.03892517089844,-347.6000061035156,154.75088500976562
15,-316.5,151.09219360351562,-309.5,139.47491455078125,-292.70001220703125,165.35179138183594,-325.0,177.3459930419922,-238.89999389648438,138.34771728515625,-365.3999938964844,163.97389221191406
16,-344.1000061035156,142.65585327148438,-222.3000030517578,111.83116912841797,-297.6000061035156,148.83023071289062,-282.8999938964844,154.71939086914062,-236.60000610351562,146.33877563476562,-337.70001220703125,143.00352478027344
17,-320.20001220703125,154.8107147216797,-270.1000061035156,156.75550842285156,-343.8999938964844,166.01531982421875,-250.3000030517578,137.60018920898438,-233.3000030517578,142.591064453125,-303.29998779296875,162.73170471191406
18,-314.0,170.6622314453125,-298.1000061035156,140.14239501953125,-222.60000610351562,134.21267700195312,-266.70001220703125,167.01979064941406,-240.5,101.13282775878906,-308.3999938964844,160.1619110107422
19,-366.6000061035156,152.87001037597656,-312.3999938964844,160.9280548095703,-326.29998779296875,169.23240661621094,-306.1000061035156,167.81622314453125,-268.3999938964844,144.1812744140625,-324.0,183.54835510253906
