Condition,Type,Mean Reward (Last 5),Std Dev
TD,Training,192.22,72.27981
TD,Eval,211.752,106.57538
TD+NOV,Training,235.6,132.27365
TD+NOV,Eval,226.58798,117.97609
TD+UNC,Training,283.14,128.71954
TD+UNC,Eval,256.368,138.92905
FULL,Training,252.44,146.02565
FULL,Eval,219.188,129.42238
MULT,Training,243.48,140.65366
MULT,Eval,227.556,118.178085
GATE,Training,270.8,123.04357
GATE,Eval,249.09201,113.40117
