X,TD_mean,TD_std,TD+NOV_mean,TD+NOV_std,TD+UNC_mean,TD+UNC_std,FULL_mean,FULL_std,MULT_mean,MULT_std,GATE_mean,GATE_std
589,-193.60000610351562,19.200000762939453,-194.60000610351562,11.689311027526855,-188.6999969482422,14.953595161437988,-186.60000610351562,22.18648338317871,-183.6999969482422,31.46442413330078,-193.1999969482422,12.536346435546875
590,-167.39999389648438,38.54659652709961,-189.8000030517578,12.327205657958984,-186.8000030517578,26.56990623474121,-182.0,30.512292861938477,-191.89999389648438,12.22661018371582,-181.39999389648438,23.996667861938477
591,-200.0,0.0,-197.8000030517578,5.670979022979736,-186.39999389648438,24.360620498657227,-194.5,12.769103050231934,-190.39999389648438,21.574058532714844,-172.5,35.05210494995117
592,-199.10000610351562,2.700000047683716,-179.10000610351562,24.271175384521484,-184.10000610351562,17.501142501831055,-181.8000030517578,27.39634895324707,-186.89999389648438,21.718425750732422,-188.6999969482422,14.269197463989258
593,-197.1999969482422,8.40000057220459,-186.5,23.774986267089844,-195.39999389648438,11.934822082519531,-185.6999969482422,19.2148380279541,-185.0,20.96664047241211,-182.60000610351562,21.062763214111328
594,-193.1999969482422,14.062716484069824,-180.1999969482422,25.253910064697266,-200.0,0.0,-170.6999969482422,32.41619873046875,-185.5,19.68375015258789,-189.3000030517578,24.68217658996582
595,-177.39999389648438,26.142684936523438,-187.5,21.592823028564453,-192.39999389648438,15.206578254699707,-188.5,11.333578109741211,-186.60000610351562,16.63850975036621,-163.1999969482422,40.392574310302734
596,-192.1999969482422,14.055603981018066,-182.1999969482422,25.662425994873047,-198.8000030517578,2.4413106441497803,-193.8000030517578,11.855799674987793,-178.6999969482422,37.35519027709961,-188.8000030517578,18.0488224029541
597,-198.0,6.0,-189.6999969482422,12.961867332458496,-181.39999389648438,29.856992721557617,-176.39999389648438,25.943016052246094,-192.39999389648438,14.36106014251709,-196.3000030517578,11.09999942779541
598,-190.10000610351562,16.2877254486084,-196.1999969482422,11.400001525878906,-181.60000610351562,28.664262771606445,-180.10000610351562,39.8056526184082,-190.3000030517578,16.425893783569336,-185.89999389648438,22.660316467285156
599,-182.89999389648438,23.897489547729492,-196.89999389648438,7.272551536560059,-187.5,21.703685760498047,-191.60000610351562,16.805952072143555,-198.60000610351562,3.583294630050659,-191.6999969482422,16.781240463256836
600,-187.0,20.21880340576172,-178.5,29.793455123901367,-181.39999389648438,23.376056671142578,-193.39999389648438,13.469965934753418,-198.10000610351562,5.700000286102295,-186.8000030517578,25.627328872680664
601,-197.3000030517578,8.100000381469727,-196.5,10.5,-182.8000030517578,31.11848258972168,-181.39999389648438,23.191377639770508,-187.5,19.815397262573242,-196.0,12.0
602,-189.3000030517578,23.108654022216797,-186.8000030517578,17.168575286865234,-193.8000030517578,12.472369194030762,-197.60000610351562,7.199999809265137,-184.6999969482422,21.033544540405273,-192.0,16.0
603,-193.3000030517578,10.080178260803223,-189.3000030517578,15.943965911865234,-183.89999389648438,20.324615478515625,-180.1999969482422,25.494312286376953,-181.60000610351562,21.32697868347168,-196.60000610351562,10.199999809265137
604,-179.6999969482422,26.56708526611328,-186.8000030517578,17.954387664794922,-169.10000610351562,33.76225662231445,-186.5,24.0759220123291,-189.6999969482422,21.128416061401367,-195.0,9.338093757629395
605,-172.5,33.64297866821289,-196.0,12.0,-180.89999389648438,22.187610626220703,-185.3000030517578,19.19400978088379,-175.3000030517578,24.988197326660156,-184.10000610351562,22.774765014648438
606,-188.0,22.899782180786133,-199.89999389648438,0.30000004172325134,-194.5,9.45780086517334,-188.8000030517578,17.707626342773438,-197.60000610351562,7.199999809265137,-182.10000610351562,20.171512603759766
607,-185.39999389648438,18.028865814208984,-186.5,24.096681594848633,-186.3000030517578,30.525562286376953,-179.5,26.16199493408203,-186.8000030517578,20.6387996673584,-175.1999969482422,26.369678497314453
